ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan"
4,Shalimar Guerlain  Eau de Parfum,Guerlain,Frauen,8.0,1986,Jacques Guerlain
5,L'Instant Magic Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2007,"Randa Hammami,
Sylvaine Delacourte"
6,Black Orchid Tom Ford  Eau de Parfum,Tom Ford,Frauen,7.6,2006,"David Apel,
Pierre Negrin"
7,Coco Mademoiselle Chanel  Eau de Parfum,Chanel,Frauen,7.8,2001,Jacques Polge
8,Delina Exclusif Parfums de Marly ,Parfums De Marly,Frauen,8.3,2017,Quentin Bisch
9,Portrait of a Lady Editions de Parfums Frédéric Malle  Eau de Parfum,Editions De Parfum Frederic Malle,Frauen,8.1,2010,Dominique Ropion
10,For Her Narciso Rodriguez  Eau de Toilette,Narciso Rodriguez,Frauen,7.8,2003,"Christine Nagel,
Francis Kurkdjian"
11,LInterdit Eau de Parfum Rouge,Givenchy,Frauen,8.4,2021,"Dominique Ropion,
Anne Flipo,
Fanny Bal"
12,Coco Chanel  Eau de Parfum,Chanel,Frauen,8.4,1984,Jacques Polge
13,Alien Mugler  Eau de Parfum,Mugler,Frauen,7.4,2005,"Dominique Ropion,
Laurent Bruyère"
14,Sunshine Woman Amouage ,Amouage,Frauen,8.1,2014,"Sidonie Lancesseur,
Robertet"
15,Libre Yves Saint Laurent  Eau de Parfum Intense,Yves Saint Laurent,Frauen,8.2,2020,"Anne Flipo,
Carlos Benaïm"
16,For Her Pure Musc Narciso Rodriguez  Eau de Parfum,Narciso Rodriguez,Frauen,8.0,2019,Sonia Constant
17,Coromandel Chanel  Eau de Toilette,Chanel,Frauen,8.3,2007,"Jacques Polge,
Christopher Sheldrake"
18,Rouge Smoking bdk Parfums  Eau de Parfum,Bdk Parfums,Frauen,8.0,2018,Amélie Bourgeois
19,Dior Addict Dior  Eau de Parfum,Dior,Frauen,8.3,2014,François Demachy
20,Vanilla |  Kayali ,Kayali,Frauen,8.1,2018,"Gabriela Chelariu,
Firmenich"
21,L'Heure Bleue Guerlain Eau de Parfum,Guerlain,Frauen,8.3,1912,Jacques Guerlain
22,Narciso Narciso Rodriguez  Eau de Parfum Poudrée,Narciso Rodriguez,Frauen,7.9,2016,Aurélien Guichard
23,Kenzo Amour Kenzo ,Kenzo,Frauen,8.2,2006,"Daphné Bugey,
Olivier Cresp"
24,Cinéma Yves Saint Laurent  Eau de Parfum,Yves Saint Laurent,Frauen,8.0,2004,Jacques Cavallier-Belletrud
25,Casamorati - Dama Bianca XerJoff  Eau de Parfum,Xerjoff,Frauen,8.1,2012,Nicht angegeben
26,Love Don't Be Shy Kilian  Perfume,Kilian,Frauen,7.8,2007,Calice Becker
27,Libre Yves Saint Laurent  Eau de Parfum,Yves Saint Laurent,Frauen,7.6,2019,"Anne Flipo,
Carlos Benaïm"
28,Florabotanica Balenciaga ,Balenciaga,Frauen,7.8,2012,"Olivier Polge,
Jean-Christophe Hérault"
29,La Belle Jean Paul Gaultier ,Jean Paul Gaultier,Frauen,8.0,2019,"Sonia Constant,
Quentin Bisch"
30,Mon Guerlain Guerlain  Eau de Parfum Intense,Guerlain,Frauen,8.4,2019,"Thierry Wasser,
Delphine Jelk"
31,Chloé Chloé  Eau de Parfum,Chloe,Frauen,7.5,2007,"Michel Almairac,
Amandine Clerc-Marie"
32,Memoir Woman Amouage  Eau de Parfum,Amouage,Frauen,8.3,2010,"Dorothée Piot,
Daniel Maurel"
33,Noir pour Femme Tom Ford ,Tom Ford,Frauen,8.4,2015,Sonia Constant
34,Aqua Allegoria Mandarine Basilic Guerlain ,Guerlain,Frauen,7.9,2007,Marie Salamagne
35,Alien Essence Absolue Mugler ,Mugler,Frauen,8.3,2012,Dominique Ropion
36,La Belle Le Parfum Jean Paul Gaultier ,Jean Paul Gaultier,Frauen,8.3,2021,"Quentin Bisch,
Sonia Constant"
37,For Her Musc Noir Rose Narciso Rodriguez ,Narciso Rodriguez,Frauen,8.2,2022,Sonia Constant
38,Infusion d'Iris Prada  Eau de Parfum,Prada,Frauen,8.0,2007,Daniela Andrier
39,N° Eau Première Chanel ,Chanel,Frauen,8.2,2008,Jacques Polge
40,Mitsouko Guerlain Eau de Parfum,Guerlain,Frauen,8.0,1919,Jacques Guerlain
41,Zen Shiseido / 資生堂  Eau de Parfum,Shiseido,Frauen,7.8,2007,"Michel Almairac,
Michael Förster"
42,Mon Précieux Nectar Guerlain ,Guerlain,Frauen,8.3,2009,Randa Hammami
43,Coco Mademoiselle Chanel  Eau de Parfum Intense,Chanel,Frauen,8.3,2018,Olivier Polge
44,Manifesto L'Elixir Yves Saint Laurent ,Yves Saint Laurent,Frauen,8.5,2013,Nicht angegeben
45,J'adore Dior  Eau de Parfum,Dior,Frauen,7.5,1999,Calice Becker
