DuftnoteID,Duftnote,AllgemeineDuftnote,Duftgruppen
1,Bibergeil,Bibergeil,Animalische-Noten
2,Ambroxan,Ambroxan,Animalische-Noten
3,Mysore-Sandelholz,Sandelholz,Mineralische-Noten
4,Zibet,Zibet,Animalische-Noten
5,Amberholz,Amber,Amber-Noten
6,Bourbon-Vanille,Vanille,Orientalische-Noten
7,Iriswurzel,Iris,Blumige-Noten
8,Kakao,Kakao,Gourmand-Noten
9,Rum,Rum,Alkoholische-Noten
10,Zucker,Gourmand Noten,Gourmand-Noten
11,Safran,Safran,Würzige-Noten
12,indonesisches Patchouli,Patchouli,Orientalische-Noten
13,Hyazinthe,Hyazinthe,Blumige-Noten
14,Flieder,Flieder,Blumige-Noten
15,grüner Apfel,Apfel,Fruchtige-Noten
16,Gartennelke,Gartennelke,Blumige-Noten
17,Alpenveilchen,Alpenveilchen,Blumige-Noten
18,pinke Grapefruit,Grapefruit,Zitrische-Noten
19,Lilie,Lilie,Blumige-Noten
20,Melone,Melone,Fruchtige-Noten
21,Freesie,Freesie,Blumige-Noten
22,blumige Noten,blumige Noten,Blumige-Noten
23,holzige Noten,holzige Noten,Holzige-Noten
24,Koriander,Koriander,Würzige-Noten
25,Aldehyde,Aldehyde,Aldehyde
26,seifige Noten,seifige Noten,Aldehyde
27,Amber,Amber,Amber-Noten
28,afrikanischer Amber,Amber,Amber-Noten
29,ägyptischer Amber,Amber,Amber-Noten
30,ägyptischer weißer Amber,Amber,Amber-Noten
31,Aldambre,Aldambre,Amber-Noten
32,Amber Absolue,Amber,Amber-Noten
33,Amber Core,Amber,Amber-Noten
34,Amber Xtreme,Amber,Amber-Noten
35,Amberketal,Amber,Amber-Noten
36,Amberlyn,Amber,Amber-Noten
37,Ambermax,Amber,Amber-Noten
38,Ambernoten,Amber,Amber-Noten
39,Ambertonic,Amber,Amber-Noten
40,Ambramone,Ambramone,Amber-Noten
41,Ambranum,Ambranum,Amber-Noten
42,Ambre -Akkord,Ambre -Akkord,
43,Ambrocenide,Ambrocenide,Amber-Noten
44,arabischer Amber,Amber,Amber-Noten
45,australischer Amber,Amber,Amber-Noten
46,baltischer Amber,Amber,Amber-Noten
47,blauer Amber,Amber,Amber-Noten
48,brasilianischer Amber,Amber,Amber-Noten
49,Cedramber,Amber,Amber-Noten
50,Cetalox,Cetalox,Amber-Noten
51,Dynamone,Dynamone,Amber-Noten
52,fossiler Amber,Amber,Amber-Noten
53,fossiler Himalaya-Amber,Amber,Amber-Noten
54,griechischer Amber,Amber,Amber-Noten
55,grüner Amber,Amber,Amber-Noten
56,Himalaya-Amber,Amber,Amber-Noten
57,indischer Amber,Amber,Amber-Noten
58,japanischer Amber,Amber,Amber-Noten
59,Karanal,Karanal,Amber-Noten
60,Kristall-Amber,Amber,Amber-Noten
61,kubanischer Amber,Amber,Amber-Noten
62,Limbanol,Limbanol,Amber-Noten
63,Limbwood,Limbwood,Amber-Noten
64,Lorenox,Lorenox,Amber-Noten
65,marokkanischer Amber,Amber,Amber-Noten
66,mineralischer Amber,Amber,Amber-Noten
67,nepalesischer Amber,Amber,Amber-Noten
68,Norlimbanol,Norlimbanol,Amber-Noten
69,Okoumal,Okoumal,Amber-Noten
70,orientalischer Amber,Amber,Amber-Noten
71,persischer Amber,Amber,Amber-Noten
72,peruanischer Amber,Amber,Amber-Noten
73,peruanischer weißer Amber,Amber,Amber-Noten
74,pflanzlicher Amber,Amber,Amber-Noten
75,roter Amber,Amber,Amber-Noten
76,schwarzer Amber,Amber,Amber-Noten
77,schwedischer fossiler Amber,Amber,Amber-Noten
78,Sclarene,Sclarene,Amber-Noten
79,spanischer Amber,Amber,Amber-Noten
80,tibetischer Amber,Amber,Amber-Noten
81,Timberol,Timberol,Amber-Noten
82,Trisamber,Amber,Amber-Noten
83,tunesischer Amber,Amber,Amber-Noten
84,türkischer Amber,Amber,Amber-Noten
85,weißer Amber,Amber,Amber-Noten
86,weißer Amber Absolue,Amber,Amber-Noten
87,Ysamber K,Amber,Amber-Noten
88,Animalische Noten,Animalische Noten,
89,Ambra,Ambra,Animalische-Noten
90,Haut,Haut,Animalische-Noten
91,Hyraceum,Hyraceum,Animalische-Noten
92,Leder,Leder,Animalische-Noten
93,Aquatische Noten,maritime Noten,Aquatische-Noten
94,Algen,maritime Noten,Aquatische-Noten
95,maritime Noten,maritime Noten,Aquatische-Noten
96,Ozon,maritime Noten,Aquatische-Noten
97,Seetang,maritime Noten,Aquatische-Noten
98,Balsamische Noten,Balsamische Noten,Balsamische-Noten
99,Amyris,Amyris,Balsamische-Noten
100,Balsam-Pappel,Balsam-Pappel,Balsamische-Noten
101,Balsame,Balsame,Balsamische-Noten
102,Balsamtanne,Balsamtanne,Balsamische-Noten
103,Gurjum,Gurjum,Balsamische-Noten
104,Harze,Harze,Balsamische-Noten
105,Kiefernbalsam,Kiefernbalsam,Balsamische-Noten
106,Kopaivabalsam,Kopaivabalsam,Balsamische-Noten
107,Perubalsam,Perubalsam,Balsamische-Noten
108,Tannenbalsam,Tannenbalsam,Balsamische-Noten
109,Tolubalsam,Tolubalsam,Balsamische-Noten
110,Weihrauch,Weihrauch,Orientalische-Noten
111,Zistrose,Rosen,Balsamische-Noten
112,Aglaia,Aglaia,Blumige-Noten
113,Amaryllis,Amaryllis,Blumige-Noten
114,Ashoka,Ashoka,
115,Aster,Aster,
116,Azalee,Azalee,
117,Begonie,Begonie,Blumige-Noten
118,Bitterorangenblüte,Bitterorangenblüte,Blumige-Noten
119,Blauregen,Blauregen,Blumige-Noten
120,Blüten,Blüten,Blumige-Noten
121,Boronia,Boronia,Blumige-Noten
122,Calla,Calla,
123,Chrysantheme,Chrysantheme,Blumige-Noten
124,Costus,Costus,Blumige-Noten
125,Dahlie,Dahlie,Blumige-Noten
126,Dianthus,Dianthus,
127,Duftwicke,Duftwicke,Blumige-Noten
128,Frangipani,Frangipani,Blumige-Noten
129,Gänseblümchen,Gänseblümchen,Blumige-Noten
130,Gardenie,Gardenie,Blumige-Noten
131,Geißblatt,Geißblatt,Blumige-Noten
132,Gewächse,Gewächse,
133,Gewürzstrauch,Gewürzstrauch,Blumige-Noten
134,Ginster,Ginster,Blumige-Noten
135,Gladiole,Gladiole,Blumige-Noten
136,Glockenblume,Glockenblume,Blumige-Noten
137,Hamamelis,Hamamelis,
138,Hartriegel,Hartriegel,
139,Hedychium,Hedychium,Blumige-Noten
140,Heliotrop,Heliotrop,Blumige-Noten
141,Henna,Henna,Blumige-Noten
142,Hibiskus,Hibiskus,
143,Holunder,Holunder,Blumige-Noten
144,Hortensie,Hortensie,Blumige-Noten
145,Immortelle,Immortelle,Blumige-Noten
146,Iris,Iris,Blumige-Noten
147,Jasmin,Jasmin,Blumige-Noten
148,Kamelie,Kamelie,Blumige-Noten
149,Kamille,Kamille,Blumige-Noten
150,Kassie,Kassie,
151,Kornblume,Kornblume,Blumige-Noten
152,Krokus,Krokus,Blumige-Noten
153,Lavendel,Lavendel,Blumige-Noten
154,Liatrix,Liatrix,
155,Lindenblüte,Lindenblüte,Blumige-Noten
156,Lotus,Lotus,Blumige-Noten
157,Löwenzahn,Löwenzahn,Blumige-Noten
158,Magnolie,Magnolie,Blumige-Noten
159,Maiglöckchen,Maiglöckchen,Blumige-Noten
160,Malve,Malve,Blumige-Noten
161,Mandevilla,Mandevilla,Blumige-Noten
162,Mimose,Mimose,Blumige-Noten
163,Mohn,Mohn,Blumige-Noten
164,Moschusrose,Rosen,Blumige-Noten
165,Narde,Narde,
166,Narzisse,Narzisse,Blumige-Noten
167,Nektar,Nektar,Blumige-Noten
168,Neroli,Neroli,Blumige-Noten
169,Nieswurz,Nieswurz,
170,Oleander,Oleander,Blumige-Noten
171,Orangenblüte,Orangenblüte,Blumige-Noten
172,Orchidee,Orchidee,Blumige-Noten
173,Osmanthus,Osmanthus,Blumige-Noten
174,Palmarosa,Palmarosa,Blumige-Noten
175,Passionsblume,Passionsblume,Blumige-Noten
176,Pelargonie,Pelargonie,Blumige-Noten
177,Pfeifenstrauch,Pfeifenstrauch,Blumige-Noten
178,Pfingstrose,Rosen,Blumige-Noten
179,Phlox,Phlox,Blumige-Noten
180,Pittosporum,Pittosporum,
181,Primel,Primel,Blumige-Noten
182,Prunkwinde,Prunkwinde,Blumige-Noten
183,Rainfarn,Rainfarn,Würzige-Noten
184,Reseda,Reseda,Blumige-Noten
185,Rhododendron,Rhododendron,Blumige-Noten
186,Ringelblume,Ringelblume,Blumige-Noten
187,Robinie,Robinie,Blumige-Noten
188,Rose,Rosen,Blumige-Noten
189,Rosengeranie,Rosen,Blumige-Noten
190,Seerose,Rosen,Blumige-Noten
191,Seidelbast,Seidelbast,Blumige-Noten
192,Sonnenblume,Sonnenblume,Blumige-Noten
193,Stechapfel,Apfel,Fruchtige-Noten
194,Stephanotis,Stephanotis,Blumige-Noten
195,Stiefmütterchen,Stiefmütterchen,Blumige-Noten
196,Tagetes,Tagetes,Blumige-Noten
197,Tiaré,Tiaré,Blumige-Noten
198,Tuberose,Rosen,Blumige-Noten
199,Tulpe,Tulpe,Blumige-Noten
200,Usambaraveilchen,Usambaraveilchen,Blumige-Noten
201,Veilchen,Veilchen,Blumige-Noten
202,Wandelröschen,Wandelröschen,Blumige-Noten
203,Weißdorn,Weißdorn,Blumige-Noten
204,weiße Blüten,weiße Blüten,Blumige-Noten
205,Ylang-Ylang,Ylang-Ylang,Blumige-Noten
206,Erdige Noten,Erdige Noten,
207,Patchouli,Patchouli,Orientalische-Noten
208,Torf,Torf,
209,Fruchtige Noten,Fruchtige Noten,
210,Beeren,Beeren,Fruchtige-Noten
211,Früchte,Früchte,Fruchtige-Noten
212,Hagebutte,Hagebutte,Fruchtige-Noten
213,Kürbis,Kürbis,Fruchtige-Noten
214,Nüsse,Nüsse,Fruchtige-Noten
215,Olive,Olive,Fruchtige-Noten
216,Pitanga,Pitanga,
217,Rhabarber,Rhabarber,Fruchtige-Noten
218,Säfte,Säfte,
219,Tamarinde,Tamarinde,Fruchtige-Noten
220,Tomate,Tomate,Fruchtige-Noten
221,Getreide,Getreide,Getreide-Noten
222,Buchweizen,Buchweizen,Getreide-Noten
223,Gerste,Gerste,Getreide-Noten
224,Hafer,Hafer,Getreide-Noten
225,Mais,Mais,Getreide-Noten
226,Malz,Malz,Getreide-Noten
227,Reis,Reis,Getreide-Noten
228,Samen,Samen,
229,Weizen,Weizen,Getreide-Noten
230,Gourmand-Noten,Gourmand Noten,
231,Aufstrich,Aufstrich,
232,Butter,Butter,
233,Eiscreme,Eiscreme,
234,Fleisch,Fleisch,
235,Gebäck,Gourmand Noten,
236,Getränke,Getränke,
237,Honig,Honig,Gourmand-Noten
238,Karamell,Karamell,Gourmand-Noten
239,Konfitüre,Konfitüre,
240,Lakritze,Gourmand Noten,Gourmand-Noten
241,Marshmallow,Gourmand Noten,Gourmand-Noten
242,Milch,Milch,
243,Pilze,Pilze,Gourmand-Noten
244,Popcorn,Gourmand Noten,
245,Praline,Gourmand Noten,Gourmand-Noten
246,Sahnecreme,Gourmand Noten,Gourmand-Noten
247,Schokolade,Gourmand Noten,Gourmand-Noten
248,Sirup,Sirup,Gourmand-Noten
249,Sorbet,Sorbet,Gourmand-Noten
250,Speise,Speise,
251,Süßigkeiten,Süßigkeiten,Gourmand-Noten
252,Süßkartoffel,Süßkartoffel,Gourmand-Noten
253,Süßspeise,Süßspeise,
254,schwarzer Trüffel,Trüffel,Gourmand-Noten
255,Yams,Yams,
256,Grüne Noten,Grüne Noten,
257,Agave,Agave,
258,Aloe,Aloe,
259,Bambus,Bambus,Grüne-Noten
260,Blätter,Blätter,
261,Bohne,Bohne,
262,Cocastrauch,Cocastrauch,
263,Efeu,Efeu,Grüne-Noten
264,Erbse,Erbse,Grüne-Noten
265,Farn,Farn,Grüne-Noten
266,Feige,Feige,Grüne-Noten
267,Floralozone,Floralozone,Aquatische-Noten
268,Gemüse,Gemüse,Grüne-Noten
269,Gräser,Gräser,
270,Gurke,Gurke,Grüne-Noten
271,Hanf,Hanf,Grüne-Noten
272,Kaktus,Kaktus,Grüne-Noten
273,Kalmus,Kalmus,Grüne-Noten
274,Klee,Klee,Grüne-Noten
275,Koniferen,Koniferen,
276,Kräuter,Kräuter,Grüne-Noten
277,Liebstöckel,Liebstöckel,Grüne-Noten
278,Matcha,Matcha,
279,Maté-Tee,Tee,
280,Mistel,Mistel,Grüne-Noten
281,Papyrus,Papyrus,Grüne-Noten
282,Rinde,Rinde,Holzige-Noten
283,Schraubenbaum,Schraubenbaum,
284,Stechwinde,Stechwinde,Grüne-Noten
285,Tee,Tee,
286,Veilchenblatt,Veilchenblatt,Blumige-Noten
287,Vetiver,Vetiver,Holzige-Noten
288,Harzige Noten,Harzige Noten,Balsamische-Noten
289,Benzoe,Benzoe,Harzige-Noten
290,Bienenwachs,Bienenwachs,Harzige-Noten
291,Drachenblut,Drachenblut,Harzige-Noten
292,Elemiharz,Elemiharz,Balsamische-Noten
293,Galbanum,Galbanum,Harzige-Noten
294,Jojoba,Jojoba,Harzige-Noten
295,Labdanum,Labdanum,Harzige-Noten
296,Mastix,Mastix,
297,Myrrhe,Myrrhe,Orientalische-Noten
298,Opoponax,Opoponax,Harzige-Noten
299,Styrax,Styrax,Harzige-Noten
300,Teer,Tee,Mineralische-Noten
301,Wachs,Wachs,Harzige-Noten
302,Ahorn,Ahorn,Holzige-Noten
303,Atlaszeder,Atlaszeder,Holzige-Noten
304,Birke,Birke,Holzige-Noten
305,Buche,Buche,
306,Cabreuva,Cabreuva,
307,Ebenholz,holzige Noten,
308,Eberesche,Eberesche,Holzige-Noten
309,Eiche,Eiche,Holzige-Noten
310,Erle,Erle,Holzige-Noten
311,Espe,Espe,Holzige-Noten
312,Guajakholz,holzige Noten,
313,Hiba-Zeder,Hiba-Zeder,
314,Hinoki,Hinoki,
315,Hölzer,Hölzer,Holzige-Noten
316,Jacaranda,Jacaranda,
317,Kaschmirholz,holzige Noten,Holzige-Noten
318,Kastanie,Kastanie,Holzige-Noten
319,Katsurabaum,Katsurabaum,
320,Linde,Linde,Holzige-Noten
321,Mahagoni,Mahagoni,Holzige-Noten
322,Manuka,Manuka,
323,Massoia,Massoia,Holzige-Noten
324,Muhuhu,Muhuhu,Holzige-Noten
325,Okoumé,Okoumé,Holzige-Noten
326,Pagodenbaum,Pagodenbaum,
327,Palisander,Palisander,
328,Palme,Palme,Holzige-Noten
329,Papier,Papier,Holzige-Noten
330,Pappel,Pappel,Holzige-Noten
331,Rosenholz,holzige Noten,Blumige-Noten
332,Sandelholz,Sandelholz,Mineralische-Noten
333,Stechpalme,Stechpalme,Holzige-Noten
334,Teak,Teak,Holzige-Noten
335,Teebaum,Tee,Holzige-Noten
336,Treibholz,holzige Noten,
337,Tulpenbaum,Tulpenbaum,Blumige-Noten
338,Ulme,Ulme,
339,Virginiazeder,Virginiazeder,Holzige-Noten
340,Weide,Weide,
341,Wenge,Wenge,Holzige-Noten
342,Zeder,Zeder,
343,Zypresse,Zypresse,Holzige-Noten
344,Krautige Noten,Krautige Noten,
345,Absinth,Absinth,
346,Angelika,Angelika,Krautige-Noten
347,Anis,Anis,Würzige-Noten
348,Arnika,Arnika,Krautige-Noten
349,Artemisia,Artemisia,Krautige-Noten
350,Baldrian,Baldrian,Blumige-Noten
351,Basilikum,Basilikum,Krautige-Noten
352,Beifuß,Beifuß,Krautige-Noten
353,Brennnessel,Brennnessel,Krautige-Noten
354,Buchu,Buchu,Grüne-Noten
355,Cannabis,Cannabis,
356,Davana,Davana,Krautige-Noten
357,Dill,Dill,Krautige-Noten
358,Enzian,Enzian,Krautige-Noten
359,Estragon,Estragon,Krautige-Noten
360,Eukalyptus,Eukalyptus,
361,Fenchel,Fenchel,Würzige-Noten
362,Ginseng,Ginseng,Krautige-Noten
363,Grüne Minze,Minze,Krautige-Noten
364,Kampferbaum,Kampferbaum,Krautige-Noten
365,Kresse,Kresse,Krautige-Noten
366,Lorbeer,Lorbeer,Grüne-Noten
367,Majoran,Majoran,Krautige-Noten
368,Melisse,Melisse,Krautige-Noten
369,Minze,Minze,Krautige-Noten
370,Muskatellersalbei,Muskatellersalbei,Krautige-Noten
371,Myrte,Myrte,Krautige-Noten
372,Oregano,Oregano,Krautige-Noten
373,Petersilie,Petersilie,Krautige-Noten
374,Pfefferminze,Pfeffer,Krautige-Noten
375,Rosmarin,Rosmarin,Krautige-Noten
376,Salbei,Salbei,Krautige-Noten
377,Schafgarbe,Schafgarbe,Krautige-Noten
378,Sellerie,Sellerie,Krautige-Noten
379,Shiso,Shiso,
380,Süßholz,holzige Noten,
381,Thymian,Thymian,Krautige-Noten
382,Zitronengras,Zitrone,Zitrische-Noten
383,Mineralische Noten,Mineralische Noten,
384,Kohle,Kohle,Mineralische-Noten
385,Salz,salzige Noten,Mineralische-Noten
386,salzige Noten,salzige Noten,Mineralische-Noten
387,Schießpulver,Schießpulver,Mineralische-Noten
388,Tinte,Tinte,Mineralische-Noten
389,Tonerde,Tonerde,Mineralische-Noten
390,Moosige Noten,Moosige Noten,Mosige-Noten
391,Baummoos,Baummoos,Mosige-Noten
392,Eichenmoos,Eichenmoos,Holzige-Noten
393,Flechte,Flechte,Mosige-Noten
394,Moos,Moos,Mosige-Noten
395,Moschus,Moschus,Moschus-Noten
396,Ambrette,Ambrette,
397,Hirschmoschus,Moschus,Animalische-Noten
398,Ohne Klassifizierung,Ohne Klassifizierung,
399,Lack,Lack,Ohne Klassifizierung
400,metallische Noten,metallische Noten,Ohne Klassifizierung
401,Orientalische Noten,Orientalische Noten,
402,Adlerholz,holzige Noten,Orientalische-Noten
403,Tonkabohne,Tonka,Orientalische-Noten
404,Vanille,Vanille,Orientalische-Noten
405,Pudrige Noten,Pudrige Noten,
406,Rauchige Noten,Rauchige Noten,Rauchige-Noten
407,Khyphi,Khyphi,
408,Lapsang-Souchong-Tee,Tee,Rauchige-Noten
409,Riechstoffe,Riechstoffe,
410,Cumarin,Cumarin,Riechstoffe
411,Firmenich,Firmenich,
412,Givaudan,Givaudan,
413,IFF,IFF,
414,Kaō,Kaō,
415,Mane,Mane,
416,Pfizer,Pfizer,
417,Robertet,Robertet,
418,Symrise,Symrise,
419,Synarome,Synarome,
420,Vigon,Vigon,
421,Tabak,Tabak,Tabak-Noten
422,Tabakblüte,Tabak,Tabak-Noten
423,Zigarre,Zigarre,Tabak-Noten
424,Textile Noten,Textile Noten,
425,Baumwolle,Baumwolle,Textile-Noten
426,Leinen,Leinen,Textile-Noten
427,Samt,Samt,Textile-Noten
428,Seide,Seide,Textile-Noten
429,Wolle,Wolle,Textile-Noten
430,Würzige Noten,Würzige Noten,
431,Bay-Rum,Rum,Würzige-Noten
432,Bockshornklee,Bockshornklee,Würzige-Noten
433,Chili,Chili,Würzige-Noten
434,Curry,Curry,Würzige-Noten
435,Gewürze,Gewürze,Würzige-Noten
436,Gewürznelke,Gewürznelke,Blumige-Noten
437,Ingwer,Ingwer,Würzige-Noten
438,Kardamom,Kardamom,Würzige-Noten
439,Kreuzkümmel,Kreuzkümmel,Würzige-Noten
440,Kümmel,Kümmel,Würzige-Noten
441,Kurkuma,Kurkuma,Würzige-Noten
442,Muskat,Muskat,Würzige-Noten
443,Paprika,Paprika,Würzige-Noten
444,Pfeffer,Pfeffer,Würzige-Noten
445,Piment,Piment,Würzige-Noten
446,Schwarzkümmel,Schwarzkümmel,Würzige-Noten
447,Senf,Senf,Würzige-Noten
448,Sesam,Sesam,Würzige-Noten
449,Sternanis,Sternanis,Würzige-Noten
450,Wacholder,Wacholder,Würzige-Noten
451,Zimt,Zimt,Würzige-Noten
452,Zitrische Noten,Zitrische Noten,
453,Bergamotte,Bergamotte,Zitrische-Noten
454,Bitterorange,Bitterorange,Zitrische-Noten
455,Blutorange,Blutorange,Zitrische-Noten
456,Clementine,Clementine,Zitrische-Noten
457,Eisenkraut,Eisenkraut,Zitrische-Noten
458,Grapefruit,Grapefruit,Zitrische-Noten
459,Kaffernlimette,Limetten,Zitrische-Noten
460,Kumquat,Kumquat,Zitrische-Noten
461,Limette,Limetten,Zitrische-Noten
462,Litsea cubeba,Litsea cubeba,Zitrische-Noten
463,Mandarine,Mandarine,Zitrische-Noten
464,Minneola,Minneola,Zitrische-Noten
465,Monarde,Monarde,Zitrische-Noten
466,Orange,Orange,Zitrische-Noten
467,Petitgrain,Petitgrain,Zitrische-Noten
468,Pomelo,Pomelo,Zitrische-Noten
469,Satsuma,Satsuma,Zitrische-Noten
470,Yuzu,Yuzu,Zitrische-Noten
471,Zitronatzitrone,Zitrone,Zitrische-Noten
472,Zitrone,Zitrone,Zitrische-Noten
473,Zitronenverbene,Zitrone,Zitrische-Noten
474,Zitrusfrüchte,Zitrusfrüchte,Zitrische-Noten
475,Adoxal,Adoxal,Riechstoffe
476,Anisaldehyd,Anisaldehyd,Aldehyde
477,Cyclamenaldehyd,Cyclamenaldehyd,Aldehyde
478,Dodecanal,Dodecanal,Riechstoffe
