ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur,DuftnoteID,Duftnote,AllgemeineDuftnote,Duftgruppen
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,1.0,Bibergeil,Bibergeil,Animalische-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,146.0,Iris,Iris,Blumige-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,453.0,Bergamotte,Bergamotte,Zitrische-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,1107.0,indischer Jasmin-Sambac Absolue Orpur,Jasmin,Blumige-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,2418.0,Echter Lavendel,Lavendel,Blumige-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,5862.0,Australisches Sandelholz,Sandelholz,Mineralische-Noten
1,Mon Guerlain Guerlain  Eau de Parfum,Guerlain,Frauen,8.2,2017,Thierry Wasser,6673.0,Tahiti-Vanille,Vanille,Orientalische-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,147.0,Jasmin,Jasmin,Blumige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,159.0,Maiglöckchen,Maiglöckchen,Blumige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,188.0,Rose,Rosen,Blumige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,198.0,Tuberose,Rosen,Blumige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,331.0,Rosenholz,holzige Noten,Blumige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,332.0,Sandelholz,Sandelholz,Mineralische-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,404.0,Vanille,Vanille,Orientalische-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,445.0,Piment,Piment,Würzige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,3361.0,Kokosnuss,Nüsse,Fruchtige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,3366.0,Mandel,Nüsse,Fruchtige-Noten
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,3461.0,Aprikose,Aprikose,
2,Hypnotic Poison Dior  Eau de Toilette,Dior,Frauen,8.0,1998,Annick Ménardo,3479.0,Pflaume,Pflaume,Fruchtige-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",110.0,Weihrauch,Weihrauch,Orientalische-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",159.0,Maiglöckchen,Maiglöckchen,Blumige-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",178.0,Pfingstrose,Rosen,Blumige-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",217.0,Rhabarber,Rhabarber,Fruchtige-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",287.0,Vetiver,Vetiver,Holzige-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",404.0,Vanille,Vanille,Orientalische-Noten
3,Delina Parfums de Marly  Eau de Parfum,Parfums De Marly,Frauen,8.0,2017,"Quentin Bisch,
Givaudan",442.0,Muskat,Muskat,Würzige-Noten
